89162:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 4977042240922 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89163:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801260114474 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89164:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801236225449 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
89165:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 0000088022680 PYUN_QTY=1 ORD_UNIT_QTY=10 TOT_QTY=10 (need=3) method=direct_api
89166:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 0000088022666 PYUN_QTY=1 ORD_UNIT_QTY=10 TOT_QTY=10 (need=3) method=direct_api
89167:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 8801116007257 PYUN_QTY=1 ORD_UNIT_QTY=10 TOT_QTY=10 (need=3) method=direct_api
89168:2026-04-08 07:21:07 | INFO     | 4c53b5d6 | src.order.order_executor | [AUDIT] 5010278103759 PYUN_QTY=6 ORD_UNIT_QTY=1 TOT_QTY=6 (need=6) method=direct_api
90135:2026-04-08 07:26:05 | INFO     | 862b795f | src.order.direct_api_saver | [DirectApiSaver] 0채움 컬럼: ORD_MUL_QTY(meta:INT), OLD_PYUN_QTY(known), EVT_DC_RATE(known), RB_AMT(known)
90207:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800271905675 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90208:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800336394468 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90209:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800336394369 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90210:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800336394680 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90211:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8809196620854 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90212:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800279675815 PYUN_QTY=2 ORD_UNIT_QTY=1 TOT_QTY=2 (need=2) method=direct_api
90213:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800271902520 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90214:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800279675778 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90215:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800271903480 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90216:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800279675730 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90217:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800279676911 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90218:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800336390651 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90219:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800279676904 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90220:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800279675808 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90221:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800271903473 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90222:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800279675723 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90223:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800336392266 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90224:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800336391986 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90225:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8801771035619 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90226:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800271904449 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90227:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800271904432 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90228:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800336392068 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
90229:2026-04-08 07:26:11 | INFO     | 862b795f | src.order.order_executor | [AUDIT] 8800271904968 PYUN_QTY=1 ORD_UNIT_QTY=1 TOT_QTY=1 (need=1) method=direct_api
