상품코드,상품명,중분류,유통기한(일),발주단위수량,발주단위명,대분류,소분류코드,소분류명,판매가,행사유형,행사명,발주상태,발주가능요일
8809844304273,엠즈)한손에피스타치오,014,,1,낱개,11,037,냉장디저트,,,,,일월화수목금토
8809692959595,조이)헤이즐넛타르트,014,,,,,,,,,,,
8801068934717,삼립)포켓몬메타몽롤케익,014,,1,낱개,11,037,냉장디저트,3500,,,,일월화수목금토
8801753114639,연세)피넛초코생크림빵,014,2,1,낱개,11,037,냉장디저트,3500,,,불가,일월화수목금토
8809692959410,조이)생딸기사각케이크,014,2,1,낱개,11,037,냉장디저트,4800,,,,일월화수목금토
8809692959182,조이)생딸기오믈렛,014,2,1,낱개,11,037,냉장디저트,4800,,,,일월화수목금토
8801121288771,APP)두바이쫀득찹쌀떡,014,3,1,낱개,11,037,냉장디저트,3500,,,불가,월화수목금
8801753115971,APP)연세치플레생크림빵,014,3,1,낱개,11,037,냉장디저트,3600,,,불가,일월화수목금토
8809895793866,CYE)깨먹는초코케이크,014,3,1,낱개,11,037,냉장디저트,4800,,,불가,일월화수목금토
8809692958901,CYE)블랙마카롱,014,3,1,낱개,11,037,냉장디저트,3800,,,불가,일월화수목금토
8809692959304,꿀꽈배기)마카롱2입,014,3,1,낱개,11,037,냉장디저트,3600,,,불가,일월화수목금토
8804455401366,노티드)딸기생크림도넛,014,3,1,낱개,11,037,냉장디저트,3500,,,,월화수목금토
8804455400956,노티드)말차라떼도넛,014,3,1,낱개,11,037,냉장디저트,3500,,,가능,월화수목금토
8804455400895,노티드)복숭아요거트도넛,014,3,1,낱개,11,037,냉장디저트,3500,,,불가,월화수목금토
8804455401045,노티드)사과잼생크림도넛,014,3,1,낱개,11,037,냉장디저트,3500,,,가능,월화수목금토
8809779601461,노티드)썸머마카롱,014,3,1,낱개,11,037,냉장디저트,3800,,,불가,일월화수목금토
8809779601607,노티드)프렌즈마카롱,014,3,1,낱개,11,037,냉장디저트,3800,,,불가,일월화수목금토
8801121288658,당과점)말차망고찰떡꼬치,014,3,1,낱개,11,037,냉장디저트,3600,,,불가,월화수목금토
8801121288672,당과점)바나나카라멜찰떡,014,3,1,낱개,11,037,냉장디저트,3600,,,불가,월화수목금토
8801121288443,당과점)초코칩찰떡꼬치,014,3,1,낱개,11,037,냉장디저트,3300,,,불가,월화수목금토
8801121288696,당과점)초코티라미수찰떡,014,3,1,낱개,11,037,냉장디저트,3600,,,불가,월화수목금토
8804455401106,벨리)삼육두유크림도넛,014,3,1,낱개,11,037,냉장디저트,2500,,,가능,월화수목금토
8801068937183,삼립)꿀고물렛,014,3,1,낱개,11,037,냉장디저트,2900,,,불가,일월화수목금토
8801068936940,삼립)복숭아주머니,014,3,1,낱개,11,037,냉장디저트,3900,,,불가,일월화수목금토
8801068936391,삼립)카이막꿀카스테라,014,3,1,낱개,11,037,냉장디저트,2500,,,불가,일월화수목금토
8801068936377,삼립)카이막바스크치즈,014,3,1,낱개,11,037,냉장디저트,7900,,,불가,일월화수목금토
8801068935851,삼립)포켓몬금빛초코슈,014,3,1,낱개,11,037,냉장디저트,2500,,,불가,일월화수목금토
8801068934885,삼립)프로H바닐라카스테라,014,3,1,낱개,11,037,냉장디저트,,,,불가,일월화수목금토
8801068934892,삼립)프로H바스크치즈케익,014,3,1,낱개,11,037,냉장디저트,2500,,,불가,일월화수목금토
8809692959441,스누피)더블크림마카롱,014,3,1,낱개,11,037,냉장디저트,3600,,,,일월화수목금토
8809844303641,엠즈)한손에초코말차,014,3,1,낱개,11,037,냉장디저트,3700,,,가능,월화수목금토
8801753116138,연세)고구마맘모스,014,3,1,낱개,11,037,냉장디저트,3800,,,가능,일월화수목금토
8801753116114,연세)고구마생크림빵,014,3,1,낱개,11,037,냉장디저트,3500,할인,,,일월화수목금토
8801753116121,연세)고구마크림카스테라,014,3,1,낱개,11,037,냉장디저트,3600,,,가능,일월화수목금토
8801753115827,연세)교보문고생크림빵,014,3,1,낱개,11,037,냉장디저트,3600,,,불가,일월화수목금토
8801753116244,연세)딸기생크림빵,014,3,1,낱개,11,037,냉장디저트,2900,할인,,,일월화수목금토
8801753116329,연세)딸기크림컵케익,014,3,1,낱개,11,037,냉장디저트,3800,할인,,,일월화수목금토
8801753114332,연세)라이트초코생크림빵,014,3,1,낱개,11,037,냉장디저트,3000,,,불가,일월화수목금토
8801753113960,연세)레드벨벳생크림빵,014,3,1,낱개,11,037,냉장디저트,3300,할인,,,일월화수목금토
8801753115612,연세)말차초코생크림빵,014,3,1,낱개,11,037,냉장디저트,3600,할인,,,일월화수목금토
8801753115636,연세)말차크림카스테라,014,3,1,낱개,11,037,냉장디저트,3600,,,가능,일월화수목금토
8801753112963,연세)메론생크림빵,014,3,1,낱개,11,037,냉장디저트,,,,,일월화수목금토
8801753116626,연세)명장단팥마리토쪼,014,3,1,낱개,11,037,냉장디저트,4300,할인,,,일월화수목금토
8801753116640,연세)명장메론크림빵,014,3,1,낱개,11,037,냉장디저트,3500,할인,,,일월화수목금토
8801753114714,연세)베어스망곰생크림빵,014,3,1,낱개,11,037,냉장디저트,3600,,,불가,일월화수목금토
8801753115148,연세)야쿠르트생크림빵,014,3,1,낱개,11,037,냉장디저트,,,,불가,일월화수목금토
8801753108478,연세)우유생크림빵,014,3,1,낱개,11,037,냉장디저트,2800,할인,,,일월화수목금토
8801753108775,연세)초코생크림빵,014,3,1,낱개,11,037,냉장디저트,3000,할인,,,일월화수목금토
8801753115964,연세)치플레치즈생크림빵,014,3,1,낱개,11,037,냉장디저트,3600,할인,,가능,일월화수목금토
8801753116466,연세)학화호도생크림빵,014,3,1,낱개,11,037,냉장디저트,3600,할인,,,일월화수목금토
8801753116664,연세)학화호도컵케익,014,3,1,낱개,11,037,냉장디저트,3800,할인,,,일월화수목금토
8801121288764,유라가)두바이쫀득찹쌀떡,014,3,1,낱개,11,037,냉장디저트,3500,,,,월화수목금토
8801121288795,유라가)초코칩찰떡꼬치,014,3,1,낱개,11,037,냉장디저트,3300,,,,월화수목금토
8809692959106,조이)두바이미니수건케익,014,3,1,낱개,11,037,냉장디저트,4900,,,가능,일월화수목금토
8809692958963,조이)두바이쫀득마카롱,014,3,1,낱개,11,037,냉장디저트,3700,,,,일월화수목금토
8809692958826,조이)두바이초코브라우니,014,3,1,낱개,11,037,냉장디저트,3900,,,,일월화수목금토
8809692959571,조이)두바이타르트,014,3,1,낱개,11,037,냉장디저트,3900,,,가능,일월화수목금토
8809692958208,조이)말차크림브륄레,014,3,1,낱개,11,037,냉장디저트,4000,,,불가,일월화수목금토
8809692958802,조이)베리초코케이크바,014,3,1,낱개,11,037,냉장디저트,4700,,,불가,일월화수목금토
8809692958789,조이)블랙쿠키케이크바,014,3,1,낱개,11,037,냉장디저트,4700,,,불가,일월화수목금토
8809692959519,조이)요거트비스켓케이크,014,3,1,낱개,11,037,냉장디저트,4300,,,가능,일월화수목금토
8809692959397,조이)쫀득딸기마카롱,014,3,1,낱개,11,037,냉장디저트,3800,,,,일월화수목금토
8809692958079,피크민)요거트마카롱,014,3,1,낱개,11,037,냉장디저트,3700,,,불가,일월화수목금토
8804455400932,피크민)커스터드도넛,014,3,1,낱개,11,037,냉장디저트,2800,,,불가,월화수목금토
8809692958949,하와이안)더블마카롱,014,3,1,낱개,11,037,냉장디저트,3600,,,불가,일월화수목금토
8809523625309,당과점)말차벽돌케이크,014,4,1,낱개,11,037,냉장디저트,4800,,,불가,월화수목금토
8809844304136,뽀로로)우유초코케익,014,4,1,낱개,11,037,냉장디저트,7200,,,불가,월화수목금토
8801068939118,삼립)두바이떠먹케,014,4,1,낱개,11,037,냉장디저트,5900,,,,일월화수목금토
8801068939125,삼립)두바이파삭파이,014,4,1,낱개,11,037,냉장디저트,5900,,,,일월화수목금토
8801753116282,연세)딸기크림롤케익,014,4,1,낱개,11,037,냉장디저트,3800,할인,,,월화수목금토
8801753116268,연세)딸기크림맘모스,014,4,1,낱개,11,037,냉장디저트,3800,할인,,,일월화수목금토
